k,wq,feature,feature_group,value_81,value_161,difference,absolute_difference,normalized_difference,convergence_classification
0.00075,-0.61,timing__excess_time_delay__cos2,timing,0.1936522377467943,0.19366592254144926,1.3684794654966748e-05,1.3684794654966748e-05,0.0003076682042086818,converged
0.00075,-0.58,timing__excess_time_delay__cos2,timing,0.1920176651950158,0.19203271798008292,1.5052785067110053e-05,1.5052785067110053e-05,0.0003384240294943808,converged
0.00075,-0.55,timing__excess_time_delay__cos2,timing,0.1908200792666597,0.19083609263896628,1.6013372306583618e-05,1.6013372306583618e-05,0.0003600204186552034,converged
0.00075,-0.525,timing__excess_time_delay__cos2,timing,0.1900681070495077,0.19008469550416554,1.658845465785097e-05,1.658845465785097e-05,0.00037294969956496967,converged
0.00075,-0.5,timing__excess_time_delay__cos2,timing,0.1894846425019035,0.18950165483269316,1.701233078965636e-05,1.701233078965636e-05,0.0003824794887629504,converged
0.00075,-0.475,timing__excess_time_delay__cos2,timing,0.1890309296483641,0.18904825222840962,1.732258004552567e-05,1.732258004552567e-05,0.0003894546633137608,converged
0.00075,-0.45,timing__excess_time_delay__cos2,timing,0.1886773326528189,0.18869488031852277,1.7547665703859794e-05,1.7547665703859794e-05,0.00039451514847549136,converged
0.001,-0.7125,timing__excess_time_delay__cos2,timing,0.2125337871583305,0.2125313022246792,-2.4849336512922093e-06,2.4849336512922093e-06,5.5867486019844445e-05,converged
0.001,-0.69,timing__excess_time_delay__cos2,timing,0.2070959813092664,0.20709831538583184,2.3340765654411566e-06,2.3340765654411566e-06,5.247584369957748e-05,converged
0.001,-0.6666666666666666,timing__excess_time_delay__cos2,timing,0.2027557800019618,0.20276196352846454,6.183526502751002e-06,6.183526502751002e-06,0.0001390210480131471,converged
0.001,-0.64,timing__excess_time_delay__cos2,timing,0.1990065984718114,0.1990160753494567,9.476877645298032e-06,9.476877645298032e-06,0.00021306376896024613,converged
0.001,-0.61,timing__excess_time_delay__cos2,timing,0.1959156414427967,0.19592777811660783,1.2136673811141696e-05,1.2136673811141696e-05,0.00027286259901497783,converged
0.001,-0.58,timing__excess_time_delay__cos2,timing,0.1936788573629611,0.19369285937612493,1.4002013163844085e-05,1.4002013163844085e-05,0.0003148000648926581,converged
0.001,-0.55,timing__excess_time_delay__cos2,timing,0.192050447182236,0.19206575280425098,1.5305622014988307e-05,1.5305622014988307e-05,0.0003441084326346993,converged
0.001,-0.525,timing__excess_time_delay__cos2,timing,0.1910327593137178,0.19104884242081938,1.6083107101577676e-05,1.6083107101577676e-05,0.0003615882302071945,converged
0.001,-0.5,timing__excess_time_delay__cos2,timing,0.190245794381855,0.19026244898497277,1.6654603117782774e-05,1.6654603117782774e-05,0.0003744368813891413,converged
0.001,-0.475,timing__excess_time_delay__cos2,timing,0.189635495848091,0.18965256774777975,1.707189968874756e-05,1.707189968874756e-05,0.0003838187457026536,converged
0.001,-0.45,timing__excess_time_delay__cos2,timing,0.1891608874983405,0.18917826160999449,1.7374111653978286e-05,1.7374111653978286e-05,0.0003906132219792244,converged
0.00125,-0.7125,timing__excess_time_delay__cos2,timing,0.2199912036956268,0.2199829970208052,-8.206674821598092e-06,8.206674821598092e-06,0.00018450645176245242,converged
0.00125,-0.69,timing__excess_time_delay__cos2,timing,0.2128146751717537,0.2128126228231675,-2.052348586190078e-06,2.052348586190078e-06,4.614189835096672e-05,converged
0.00125,-0.6666666666666666,timing__excess_time_delay__cos2,timing,0.2071185761278099,0.20712147483831675,2.8987105068489782e-06,2.8987105068489782e-06,6.517021838098089e-05,converged
0.00125,-0.64,timing__excess_time_delay__cos2,timing,0.2022356447025308,0.20224277972943666,7.1350269058578775e-06,7.1350269058578775e-06,0.0001604131425025942,converged
